observation;fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol;quality_category
1308;6.8;0.68;0.09;3.9;0.068;15;29;0.99524;3.41;0.52;11.1;0
1309;9.7;0.69;0.32;2.5;0.088;22;91;0.9979;3.29;0.62;10.1;0
1310;7;0.62;0.1;1.4;0.071;27;63;0.996;3.28;0.61;9.2;0
1311;7.5;0.61;0.26;1.9;0.073;24;88;0.99612;3.3;0.53;9.8;0
1312;6.5;0.51;0.15;3;0.064;12;27;0.9929;3.33;0.59;12.8;0
1313;8;1.18;0.21;1.9;0.083;14;41;0.99532;3.34;0.47;10.5;0
1314;7;0.36;0.21;2.3;0.086;20;65;0.99558;3.4;0.54;10.1;0
1315;7;0.36;0.21;2.4;0.086;24;69;0.99556;3.4;0.53;10.1;0
1316;7.5;0.63;0.27;2;0.083;17;91;0.99616;3.26;0.58;9.8;0
1317;5.4;0.74;0;1.2;0.041;16;46;0.99258;4.01;0.59;12.5;0
1318;9.9;0.44;0.46;2.2;0.091;10;41;0.99638;3.18;0.69;11.9;0
1319;7.5;0.63;0.27;2;0.083;17;91;0.99616;3.26;0.58;9.8;0
1320;9.1;0.76;0.68;1.7;0.414;18;64;0.99652;2.9;1.33;9.1;0
1321;9.7;0.66;0.34;2.6;0.094;12;88;0.99796;3.26;0.66;10.1;0
1322;5;0.74;0;1.2;0.041;16;46;0.99258;4.01;0.59;12.5;0
1323;9.1;0.34;0.42;1.8;0.058;9;18;0.99392;3.18;0.55;11.4;0
1324;9.1;0.36;0.39;1.8;0.06;21;55;0.99495;3.18;0.82;11;1
1325;6.7;0.46;0.24;1.7;0.077;18;34;0.9948;3.39;0.6;10.6;0
1326;6.7;0.46;0.24;1.7;0.077;18;34;0.9948;3.39;0.6;10.6;0
1327;6.7;0.46;0.24;1.7;0.077;18;34;0.9948;3.39;0.6;10.6;0
1328;6.7;0.46;0.24;1.7;0.077;18;34;0.9948;3.39;0.6;10.6;0
1329;6.5;0.52;0.11;1.8;0.073;13;38;0.9955;3.34;0.52;9.3;0
1330;7.4;0.6;0.26;2.1;0.083;17;91;0.99616;3.29;0.56;9.8;0
1331;7.4;0.6;0.26;2.1;0.083;17;91;0.99616;3.29;0.56;9.8;0
1332;7.8;0.87;0.26;3.8;0.107;31;67;0.99668;3.26;0.46;9.2;0
1333;8.4;0.39;0.1;1.7;0.075;6;25;0.99581;3.09;0.43;9.7;0
1334;9.1;0.775;0.22;2.2;0.079;12;48;0.9976;3.18;0.51;9.6;0
1335;7.2;0.835;0;2;0.166;4;11;0.99608;3.39;0.52;10;0
1336;6.6;0.58;0.02;2.4;0.069;19;40;0.99387;3.38;0.66;12.6;0
1337;6;0.5;0;1.4;0.057;15;26;0.99448;3.36;0.45;9.5;0
1338;6;0.5;0;1.4;0.057;15;26;0.99448;3.36;0.45;9.5;0
1339;6;0.5;0;1.4;0.057;15;26;0.99448;3.36;0.45;9.5;0
1340;7.5;0.51;0.02;1.7;0.084;13;31;0.99538;3.36;0.54;10.5;0
1341;7.5;0.51;0.02;1.7;0.084;13;31;0.99538;3.36;0.54;10.5;0
1342;7.5;0.51;0.02;1.7;0.084;13;31;0.99538;3.36;0.54;10.5;0
1343;7.6;0.54;0.02;1.7;0.085;17;31;0.99589;3.37;0.51;10.4;0
1344;7.5;0.51;0.02;1.7;0.084;13;31;0.99538;3.36;0.54;10.5;0
1345;11.5;0.42;0.48;2.6;0.077;8;20;0.99852;3.09;0.53;11;0
1346;8.2;0.44;0.24;2.3;0.063;10;28;0.99613;3.25;0.53;10.2;0
1347;6.1;0.59;0.01;2.1;0.056;5;13;0.99472;3.52;0.56;11.4;0
1348;7.2;0.655;0.03;1.8;0.078;7;12;0.99587;3.34;0.39;9.5;0
1349;7.2;0.655;0.03;1.8;0.078;7;12;0.99587;3.34;0.39;9.5;0
1350;6.9;0.57;0;2.8;0.081;21;41;0.99518;3.41;0.52;10.8;0
1351;9;0.6;0.29;2;0.069;32;73;0.99654;3.34;0.57;10;0
1352;7.2;0.62;0.01;2.3;0.065;8;46;0.99332;3.32;0.51;11.8;0
1353;7.6;0.645;0.03;1.9;0.086;14;57;0.9969;3.37;0.46;10.3;0
1354;7.6;0.645;0.03;1.9;0.086;14;57;0.9969;3.37;0.46;10.3;0
1355;7.2;0.58;0.03;2.3;0.077;7;28;0.99568;3.35;0.52;10;0
1356;6.1;0.32;0.25;1.8;0.086;5;32;0.99464;3.36;0.44;10.1;0
1357;6.1;0.34;0.25;1.8;0.084;4;28;0.99464;3.36;0.44;10.1;0
1358;7.3;0.43;0.24;2.5;0.078;27;67;0.99648;3.6;0.59;11.1;0
1359;7.4;0.64;0.17;5.4;0.168;52;98;0.99736;3.28;0.5;9.5;0
1361;9.2;0.54;0.31;2.3;0.112;11;38;0.99699;3.24;0.56;10.9;0
1362;8.3;0.85;0.14;2.5;0.093;13;54;0.99724;3.36;0.54;10.1;0
1364;8;0.83;0.27;2;0.08;11;63;0.99652;3.29;0.48;9.8;0
1365;7.2;0.605;0.02;1.9;0.096;10;31;0.995;3.46;0.53;11.8;0
1366;7.8;0.5;0.09;2.2;0.115;10;42;0.9971;3.18;0.62;9.5;0
1367;7.3;0.74;0.08;1.7;0.094;10;45;0.99576;3.24;0.5;9.8;0
1368;6.9;0.54;0.3;2.2;0.088;9;105;0.99725;3.25;1.18;10.5;0
1369;8;0.77;0.32;2.1;0.079;16;74;0.99656;3.27;0.5;9.8;0
1370;6.6;0.61;0;1.6;0.069;4;8;0.99396;3.33;0.37;10.4;0
1371;8.7;0.78;0.51;1.7;0.415;12;66;0.99623;3;1.17;9.2;0
1372;7.5;0.58;0.56;3.1;0.153;5;14;0.99476;3.21;1.03;11.6;0
1373;8.7;0.78;0.51;1.7;0.415;12;66;0.99623;3;1.17;9.2;0
1374;7.7;0.75;0.27;3.8;0.11;34;89;0.99664;3.24;0.45;9.3;0
1375;6.8;0.815;0;1.2;0.267;16;29;0.99471;3.32;0.51;9.8;0
1376;7.2;0.56;0.26;2;0.083;13;100;0.99586;3.26;0.52;9.9;0
1377;8.2;0.885;0.2;1.4;0.086;7;31;0.9946;3.11;0.46;10;0
1378;5.2;0.49;0.26;2.3;0.09;23;74;0.9953;3.71;0.62;12.2;0
1379;7.2;0.45;0.15;2;0.078;10;28;0.99609;3.29;0.51;9.9;0
1380;7.5;0.57;0.02;2.6;0.077;11;35;0.99557;3.36;0.62;10.8;0
1381;7.5;0.57;0.02;2.6;0.077;11;35;0.99557;3.36;0.62;10.8;0
1382;6.8;0.83;0.09;1.8;0.074;4;25;0.99534;3.38;0.45;9.6;0
1383;8;0.6;0.22;2.1;0.08;25;105;0.99613;3.3;0.49;9.9;0
1384;8;0.6;0.22;2.1;0.08;25;105;0.99613;3.3;0.49;9.9;0
1385;7.1;0.755;0.15;1.8;0.107;20;84;0.99593;3.19;0.5;9.5;0
1386;8;0.81;0.25;3.4;0.076;34;85;0.99668;3.19;0.42;9.2;0
1387;7.4;0.64;0.07;1.8;0.1;8;23;0.9961;3.3;0.58;9.6;0
1388;7.4;0.64;0.07;1.8;0.1;8;23;0.9961;3.3;0.58;9.6;0
1389;6.6;0.64;0.31;6.1;0.083;7;49;0.99718;3.35;0.68;10.3;0
1390;6.7;0.48;0.02;2.2;0.08;36;111;0.99524;3.1;0.53;9.7;0
1391;6;0.49;0;2.3;0.068;15;33;0.99292;3.58;0.59;12.5;0
1392;8;0.64;0.22;2.4;0.094;5;33;0.99612;3.37;0.58;11;0
1393;7.1;0.62;0.06;1.3;0.07;5;12;0.9942;3.17;0.48;9.8;0
1394;8;0.52;0.25;2;0.078;19;59;0.99612;3.3;0.48;10.2;0
1395;6.4;0.57;0.14;3.9;0.07;27;73;0.99669;3.32;0.48;9.2;0
1396;8.6;0.685;0.1;1.6;0.092;3;12;0.99745;3.31;0.65;9.55;0
1397;8.7;0.675;0.1;1.6;0.09;4;11;0.99745;3.31;0.65;9.55;0
1398;7.3;0.59;0.26;2;0.08;17;104;0.99584;3.28;0.52;9.9;0
1399;7;0.6;0.12;2.2;0.083;13;28;0.9966;3.52;0.62;10.2;1
1400;7.2;0.67;0;2.2;0.068;10;24;0.9956;3.42;0.72;11.1;0
1401;7.9;0.69;0.21;2.1;0.08;33;141;0.9962;3.25;0.51;9.9;0
1402;7.9;0.69;0.21;2.1;0.08;33;141;0.9962;3.25;0.51;9.9;0
1403;7.6;0.3;0.42;2;0.052;6;24;0.9963;3.44;0.82;11.9;0
1404;7.2;0.33;0.33;1.7;0.061;3;13;0.996;3.23;1.1;10;1
1405;8;0.5;0.39;2.6;0.082;12;46;0.9985;3.43;0.62;10.7;0
1406;7.7;0.28;0.3;2;0.062;18;34;0.9952;3.28;0.9;11.3;1
1407;8.2;0.24;0.34;5.1;0.062;8;22;0.9974;3.22;0.94;10.9;0
1408;6;0.51;0;2.1;0.064;40;54;0.995;3.54;0.93;10.7;0
1409;8.1;0.29;0.36;2.2;0.048;35;53;0.995;3.27;1.01;12.4;1
1410;6;0.51;0;2.1;0.064;40;54;0.995;3.54;0.93;10.7;0
1411;6.6;0.96;0;1.8;0.082;5;16;0.9936;3.5;0.44;11.9;0
1412;6.4;0.47;0.4;2.4;0.071;8;19;0.9963;3.56;0.73;10.6;0
1413;8.2;0.24;0.34;5.1;0.062;8;22;0.9974;3.22;0.94;10.9;0
1414;9.9;0.57;0.25;2;0.104;12;89;0.9963;3.04;0.9;10.1;0
1415;10;0.32;0.59;2.2;0.077;3;15;0.9994;3.2;0.78;9.6;0
1416;6.2;0.58;0;1.6;0.065;8;18;0.9966;3.56;0.84;9.4;0
1417;10;0.32;0.59;2.2;0.077;3;15;0.9994;3.2;0.78;9.6;0
1418;7.3;0.34;0.33;2.5;0.064;21;37;0.9952;3.35;0.77;12.1;1
1419;7.8;0.53;0.01;1.6;0.077;3;19;0.995;3.16;0.46;9.8;0
1420;7.7;0.64;0.21;2.2;0.077;32;133;0.9956;3.27;0.45;9.9;0
1421;7.8;0.53;0.01;1.6;0.077;3;19;0.995;3.16;0.46;9.8;0
1422;7.5;0.4;0.18;1.6;0.079;24;58;0.9965;3.34;0.58;9.4;0
1423;7;0.54;0;2.1;0.079;39;55;0.9956;3.39;0.84;11.4;0
1424;6.4;0.53;0.09;3.9;0.123;14;31;0.9968;3.5;0.67;11;0
1425;8.3;0.26;0.37;1.4;0.076;8;23;0.9974;3.26;0.7;9.6;0
1426;8.3;0.26;0.37;1.4;0.076;8;23;0.9974;3.26;0.7;9.6;0
1427;7.7;0.23;0.37;1.8;0.046;23;60;0.9971;3.41;0.71;12.1;0
1428;7.6;0.41;0.33;2.5;0.078;6;23;0.9957;3.3;0.58;11.2;0
1429;7.8;0.64;0;1.9;0.072;27;55;0.9962;3.31;0.63;11;0
1430;7.9;0.18;0.4;2.2;0.049;38;67;0.996;3.33;0.93;11.3;0
1431;7.4;0.41;0.24;1.8;0.066;18;47;0.9956;3.37;0.62;10.4;0
1432;7.6;0.43;0.31;2.1;0.069;13;74;0.9958;3.26;0.54;9.9;0
1433;5.9;0.44;0;1.6;0.042;3;11;0.9944;3.48;0.85;11.7;0
1434;6.1;0.4;0.16;1.8;0.069;11;25;0.9955;3.42;0.74;10.1;1
1435;10.2;0.54;0.37;15.4;0.214;55;95;100.369;3.18;0.77;9;0
1436;10.2;0.54;0.37;15.4;0.214;55;95;100.369;3.18;0.77;9;0
1437;10;0.38;0.38;1.6;0.169;27;90;0.99914;3.15;0.65;8.5;0
1438;6.8;0.915;0.29;4.8;0.07;15;39;0.99577;3.53;0.54;11.1;0
1439;7;0.59;0;1.7;0.052;3;8;0.996;3.41;0.47;10.3;0
1441;7.2;0.37;0.32;2;0.062;15;28;0.9947;3.23;0.73;11.3;1
1443;6.9;0.63;0.02;1.9;0.078;18;30;0.99712;3.4;0.75;9.8;0
1444;6.9;0.58;0.2;1.75;0.058;8;22;0.99322;3.38;0.49;11.7;0
1445;7.3;0.67;0.02;2.2;0.072;31;92;0.99566;3.32;0.68;11.1;0
1446;7.4;0.785;0.19;5.2;0.094;19;98;0.99713;3.16;0.52;9.6;0
1447;6.9;0.63;0.02;1.9;0.078;18;30;0.99712;3.4;0.75;9.8;0
1448;6.8;0.67;0;1.9;0.08;22;39;0.99701;3.4;0.74;9.7;0
1449;6.9;0.58;0.01;1.9;0.08;40;54;0.99683;3.4;0.73;9.7;0
1450;7.2;0.38;0.31;2;0.056;15;29;0.99472;3.23;0.76;11.3;1
1451;7.2;0.37;0.32;2;0.062;15;28;0.9947;3.23;0.73;11.3;1
1452;7.8;0.32;0.44;2.7;0.104;8;17;0.99732;3.33;0.78;11;1
1453;6.6;0.58;0.02;2;0.062;37;53;0.99374;3.35;0.76;11.6;1
1454;7.6;0.49;0.33;1.9;0.074;27;85;0.99706;3.41;0.58;9;0
1455;11.7;0.45;0.63;2.2;0.073;7;23;0.99974;3.21;0.69;10.9;0
1456;6.5;0.9;0;1.6;0.052;9;17;0.99467;3.5;0.63;10.9;0
1457;6;0.54;0.06;1.8;0.05;38;89;0.99236;3.3;0.5;10.55;0
1458;7.6;0.49;0.33;1.9;0.074;27;85;0.99706;3.41;0.58;9;0
1459;8.4;0.29;0.4;1.7;0.067;8;20;0.99603;3.39;0.6;10.5;0
1460;7.9;0.2;0.35;1.7;0.054;7;15;0.99458;3.32;0.8;11.9;1
1461;6.4;0.42;0.09;2.3;0.054;34;64;0.99724;3.41;0.68;10.4;0
1462;6.2;0.785;0;2.1;0.06;6;13;0.99664;3.59;0.61;10;0
1463;6.8;0.64;0.03;2.3;0.075;14;31;0.99545;3.36;0.58;10.4;0
1464;6.9;0.63;0.01;2.4;0.076;14;39;0.99522;3.34;0.53;10.8;0
1465;6.8;0.59;0.1;1.7;0.063;34;53;0.9958;3.41;0.67;9.7;0
1466;6.8;0.59;0.1;1.7;0.063;34;53;0.9958;3.41;0.67;9.7;0
1467;7.3;0.48;0.32;2.1;0.062;31;54;0.99728;3.3;0.65;10;1
1468;6.7;1.04;0.08;2.3;0.067;19;32;0.99648;3.52;0.57;11;0
1469;7.3;0.48;0.32;2.1;0.062;31;54;0.99728;3.3;0.65;10;1
1470;7.3;0.98;0.05;2.1;0.061;20;49;0.99705;3.31;0.55;9.7;0
1471;10;0.69;0.11;1.4;0.084;8;24;0.99578;2.88;0.47;9.7;0
1472;6.7;0.7;0.08;3.75;0.067;8;16;0.99334;3.43;0.52;12.6;0
1473;7.6;0.35;0.6;2.6;0.073;23;44;0.99656;3.38;0.79;11.1;0
1474;6.1;0.6;0.08;1.8;0.071;14;45;0.99336;3.38;0.54;11;0
1475;9.9;0.5;0.5;13.8;0.205;48;82;100.242;3.16;0.75;8.8;0
1477;9.9;0.5;0.5;13.8;0.205;48;82;100.242;3.16;0.75;8.8;0
1478;5.3;0.47;0.11;2.2;0.048;16;89;0.99182;3.54;0.88;13.6;1
1479;7.1;0.875;0.05;5.7;0.082;3;14;0.99808;3.4;0.52;10.2;0
1480;8.2;0.28;0.6;3;0.104;10;22;0.99828;3.39;0.68;10.6;0
1481;5.6;0.62;0.03;1.5;0.08;6;13;0.99498;3.66;0.62;10.1;0
1482;8.2;0.28;0.6;3;0.104;10;22;0.99828;3.39;0.68;10.6;0
1483;7.2;0.58;0.54;2.1;0.114;3;9;0.99719;3.33;0.57;10.3;0
1484;8.1;0.33;0.44;1.5;0.042;6;12;0.99542;3.35;0.61;10.7;0
1485;6.8;0.91;0.06;2;0.06;4;11;0.99592;3.53;0.64;10.9;0
1486;7;0.655;0.16;2.1;0.074;8;25;0.99606;3.37;0.55;9.7;0
1487;6.8;0.68;0.21;2.1;0.07;9;23;0.99546;3.38;0.6;10.3;0
1488;6;0.64;0.05;1.9;0.066;9;17;0.99496;3.52;0.78;10.6;0
1489;5.6;0.54;0.04;1.7;0.049;5;13;0.9942;3.72;0.58;11.4;0
1490;6.2;0.57;0.1;2.1;0.048;4;11;0.99448;3.44;0.76;10.8;0
1491;7.1;0.22;0.49;1.8;0.039;8;18;0.99344;3.39;0.56;12.4;0
1492;5.6;0.54;0.04;1.7;0.049;5;13;0.9942;3.72;0.58;11.4;0
1493;6.2;0.65;0.06;1.6;0.05;6;18;0.99348;3.57;0.54;11.95;0
1494;7.7;0.54;0.26;1.9;0.089;23;147;0.99636;3.26;0.59;9.7;0
1495;6.4;0.31;0.09;1.4;0.066;15;28;0.99459;3.42;0.7;10;1
1496;7;0.43;0.02;1.9;0.08;15;28;0.99492;3.35;0.81;10.6;0
1497;7.7;0.54;0.26;1.9;0.089;23;147;0.99636;3.26;0.59;9.7;0
1498;6.9;0.74;0.03;2.3;0.054;7;16;0.99508;3.45;0.63;11.5;0
1499;6.6;0.895;0.04;2.3;0.068;7;13;0.99582;3.53;0.58;10.8;0
1500;6.9;0.74;0.03;2.3;0.054;7;16;0.99508;3.45;0.63;11.5;0
1501;7.5;0.725;0.04;1.5;0.076;8;15;0.99508;3.26;0.53;9.6;0
1502;7.8;0.82;0.29;4.3;0.083;21;64;0.99642;3.16;0.53;9.4;0
1503;7.3;0.585;0.18;2.4;0.078;15;60;0.99638;3.31;0.54;9.8;0
1504;6.2;0.44;0.39;2.5;0.077;6;14;0.99555;3.51;0.69;11;0
1505;7.5;0.38;0.57;2.3;0.106;5;12;0.99605;3.36;0.55;11.4;0
1506;6.7;0.76;0.02;1.8;0.078;6;12;0.996;3.55;0.63;9.95;0
1507;6.8;0.81;0.05;2;0.07;6;14;0.99562;3.51;0.66;10.8;0
1508;7.5;0.38;0.57;2.3;0.106;5;12;0.99605;3.36;0.55;11.4;0
1509;7.1;0.27;0.6;2.1;0.074;17;25;0.99814;3.38;0.72;10.6;0
1510;7.9;0.18;0.4;1.8;0.062;7;20;0.9941;3.28;0.7;11.1;0
1511;6.4;0.36;0.21;2.2;0.047;26;48;0.99661;3.47;0.77;9.7;0
1512;7.1;0.69;0.04;2.1;0.068;19;27;0.99712;3.44;0.67;9.8;0
1513;6.4;0.79;0.04;2.2;0.061;11;17;0.99588;3.53;0.65;10.4;0
1514;6.4;0.56;0.15;1.8;0.078;17;65;0.99294;3.33;0.6;10.5;0
1516;6.9;0.84;0.21;4.1;0.074;16;65;0.99842;3.53;0.72;9.25;0
1517;6.1;0.32;0.25;2.3;0.071;23;58;0.99633;3.42;0.97;10.6;0
1518;6.5;0.53;0.06;2;0.063;29;44;0.99489;3.38;0.83;10.3;0
1519;7.4;0.47;0.46;2.2;0.114;7;20;0.99647;3.32;0.63;10.5;0
1520;6.6;0.7;0.08;2.6;0.106;14;27;0.99665;3.44;0.58;10.2;0
1521;6.5;0.53;0.06;2;0.063;29;44;0.99489;3.38;0.83;10.3;0
1522;6.9;0.48;0.2;1.9;0.082;9;23;0.99585;3.39;0.43;9.05;0
1523;6.1;0.32;0.25;2.3;0.071;23;58;0.99633;3.42;0.97;10.6;0
1524;6.8;0.48;0.25;2;0.076;29;61;0.9953;3.34;0.6;10.4;0
1525;6;0.42;0.19;2;0.075;22;47;0.99522;3.39;0.78;10;0
1526;6.7;0.48;0.08;2.1;0.064;18;34;0.99552;3.33;0.64;9.7;0
1527;6.8;0.47;0.08;2.2;0.064;18;38;0.99553;3.3;0.65;9.6;0
1528;7.1;0.53;0.07;1.7;0.071;15;24;0.9951;3.29;0.66;10.8;0
1529;7.9;0.29;0.49;2.2;0.096;21;59;0.99714;3.31;0.67;10.1;0
1530;7.1;0.69;0.08;2.1;0.063;42;52;0.99608;3.42;0.6;10.2;0
1531;6.6;0.44;0.09;2.2;0.063;9;18;0.99444;3.42;0.69;11.3;0
1532;6.1;0.705;0.1;2.8;0.081;13;28;0.99631;3.6;0.66;10.2;0
1533;7.2;0.53;0.13;2;0.058;18;22;0.99573;3.21;0.68;9.9;0
1534;8;0.39;0.3;1.9;0.074;32;84;0.99717;3.39;0.61;9;0
1535;6.6;0.56;0.14;2.4;0.064;13;29;0.99397;3.42;0.62;11.7;1
1536;7;0.55;0.13;2.2;0.075;15;35;0.9959;3.36;0.59;9.7;0
1537;6.1;0.53;0.08;1.9;0.077;24;45;0.99528;3.6;0.68;10.3;0
1538;5.4;0.58;0.08;1.9;0.059;20;31;0.99484;3.5;0.64;10.2;0
1539;6.2;0.64;0.09;2.5;0.081;15;26;0.99538;3.57;0.63;12;0
1540;7.2;0.39;0.32;1.8;0.065;34;60;0.99714;3.46;0.78;9.9;0
1541;6.2;0.52;0.08;4.4;0.071;11;32;0.99646;3.56;0.63;11.6;0
1542;7.4;0.25;0.29;2.2;0.054;19;49;0.99666;3.4;0.76;10.9;1
1543;6.7;0.855;0.02;1.9;0.064;29;38;0.99472;3.3;0.56;10.75;0
1544;11.1;0.44;0.42;2.2;0.064;14;19;0.99758;3.25;0.57;10.4;0
1545;8.4;0.37;0.43;2.3;0.063;12;19;0.9955;3.17;0.81;11.2;1
1546;6.5;0.63;0.33;1.8;0.059;16;28;0.99531;3.36;0.64;10.1;0
1547;7;0.57;0.02;2;0.072;17;26;0.99575;3.36;0.61;10.2;0
1548;6.3;0.6;0.1;1.6;0.048;12;26;0.99306;3.55;0.51;12.1;0
1549;11.2;0.4;0.5;2;0.099;19;50;0.99783;3.1;0.58;10.4;0
1550;7.4;0.36;0.3;1.8;0.074;17;24;0.99419;3.24;0.7;11.4;1
1551;7.1;0.68;0;2.3;0.087;17;26;0.99783;3.45;0.53;9.5;0
1552;7.1;0.67;0;2.3;0.083;18;27;0.99768;3.44;0.54;9.4;0
1553;6.3;0.68;0.01;3.7;0.103;32;54;0.99586;3.51;0.66;11.3;0
1554;7.3;0.735;0;2.2;0.08;18;28;0.99765;3.41;0.6;9.4;0
1555;6.6;0.855;0.02;2.4;0.062;15;23;0.99627;3.54;0.6;11;0
1556;7;0.56;0.17;1.7;0.065;15;24;0.99514;3.44;0.68;10.55;1
1557;6.6;0.88;0.04;2.2;0.066;12;20;0.99636;3.53;0.56;9.9;0
1558;6.6;0.855;0.02;2.4;0.062;15;23;0.99627;3.54;0.6;11;0
1559;6.9;0.63;0.33;6.7;0.235;66;115;0.99787;3.22;0.56;9.5;0
1560;7.8;0.6;0.26;2;0.08;31;131;0.99622;3.21;0.52;9.9;0
1561;7.8;0.6;0.26;2;0.08;31;131;0.99622;3.21;0.52;9.9;0
1562;7.8;0.6;0.26;2;0.08;31;131;0.99622;3.21;0.52;9.9;0
1563;7.2;0.695;0.13;2;0.076;12;20;0.99546;3.29;0.54;10.1;0
1564;7.2;0.695;0.13;2;0.076;12;20;0.99546;3.29;0.54;10.1;0
1565;7.2;0.695;0.13;2;0.076;12;20;0.99546;3.29;0.54;10.1;0
1566;6.7;0.67;0.02;1.9;0.061;26;42;0.99489;3.39;0.82;10.9;0
1567;6.7;0.16;0.64;2.1;0.059;24;52;0.99494;3.34;0.71;11.2;0
1568;7.2;0.695;0.13;2;0.076;12;20;0.99546;3.29;0.54;10.1;0
1569;7;0.56;0.13;1.6;0.077;25;42;0.99629;3.34;0.59;9.2;0
1570;6.2;0.51;0.14;1.9;0.056;15;34;0.99396;3.48;0.57;11.5;0
1571;6.4;0.36;0.53;2.2;0.23;19;35;0.9934;3.37;0.93;12.4;0
1572;6.4;0.38;0.14;2.2;0.038;15;25;0.99514;3.44;0.65;11.1;0
1573;7.3;0.69;0.32;2.2;0.069;35;104;0.99632;3.33;0.51;9.5;0
1574;6;0.58;0.2;2.4;0.075;15;50;0.99467;3.58;0.67;12.5;0
1575;5.6;0.31;0.78;13.9;0.074;23;92;0.99677;3.39;0.48;10.5;0
1576;7.5;0.52;0.4;2.2;0.06;12;20;0.99474;3.26;0.64;11.8;0
1577;8;0.3;0.63;1.6;0.081;16;29;0.99588;3.3;0.78;10.8;0
1578;6.2;0.7;0.15;5.1;0.076;13;27;0.99622;3.54;0.6;11.9;0
1579;6.8;0.67;0.15;1.8;0.118;13;20;0.9954;3.42;0.67;11.3;0
1580;6.2;0.56;0.09;1.7;0.053;24;32;0.99402;3.54;0.6;11.3;0
1581;7.4;0.35;0.33;2.4;0.068;9;26;0.9947;3.36;0.6;11.9;0
1582;6.2;0.56;0.09;1.7;0.053;24;32;0.99402;3.54;0.6;11.3;0
1583;6.1;0.715;0.1;2.6;0.053;13;27;0.99362;3.57;0.5;11.9;0
1584;6.2;0.46;0.29;2.1;0.074;32;98;0.99578;3.33;0.62;9.8;0
1585;6.7;0.32;0.44;2.4;0.061;24;34;0.99484;3.29;0.8;11.6;1
1586;7.2;0.39;0.44;2.6;0.066;22;48;0.99494;3.3;0.84;11.5;0
1587;7.5;0.31;0.41;2.4;0.065;34;60;0.99492;3.34;0.85;11.4;0
1588;5.8;0.61;0.11;1.8;0.066;18;28;0.99483;3.55;0.66;10.9;0
1589;7.2;0.66;0.33;2.5;0.068;34;102;0.99414;3.27;0.78;12.8;0
1590;6.6;0.725;0.2;7.8;0.073;29;79;0.9977;3.29;0.54;9.2;0
1591;6.3;0.55;0.15;1.8;0.077;26;35;0.99314;3.32;0.82;11.6;0
1592;5.4;0.74;0.09;1.7;0.089;16;26;0.99402;3.67;0.56;11.6;0
1593;6.3;0.51;0.13;2.3;0.076;29;40;0.99574;3.42;0.75;11;0
1594;6.8;0.62;0.08;1.9;0.068;28;38;0.99651;3.42;0.82;9.5;0
1595;6.2;0.6;0.08;2;0.09;32;44;0.9949;3.45;0.58;10.5;0
1596;5.9;0.55;0.1;2.2;0.062;39;51;0.99512;3.52;0.76;11.2;0
1597;6.3;0.51;0.13;2.3;0.076;29;40;0.99574;3.42;0.75;11;0
1598;5.9;0.645;0.12;2;0.075;32;44;0.99547;3.57;0.71;10.2;0
1599;6;0.31;0.47;3.6;0.067;18;42;0.99549;3.39;0.66;11;0
